Goat,"A goat is a type of animal that can be either domesticated or wild and originate from southwest Asia. Goats are characterized by their resemblance to sheep and are used for their meat, milk, hair, and skin.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610808/goat_esdxxz.png",Mammals,"Mammals are members of class Mammalia, air-breathing vertebrate animals.",Animals,"Animals of all types, including pets and zoon animals."
Hello,"Hello is an English language greeting or salutation, often used when meeting someone.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610809/hello_t4ykta.png",General Communication,"Conveying information through various acts. This category groups many sub-categories together, such as greetings, indicators, and complex feedback.",Communicating,"Communication is the activity of conveying information. Communication has been derived from the Latin word ""communis"", meaning to share. Communication requires a sender, a message, and an intended recipient, although the receiver need not be present or aware of the sender's intent to communicate at the time of communication; thus communication can occur across vast distances in time and space. Communication requires that the communicating parties share an area of communicative commonality."
Nail Biting,"Nail biting, also known as Onychophagia, is a compulsive behavior in both children and adults. The behavior can cause broken skin on the cuticle, which makes the fingers more susceptible to microbial and viral infections.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578608068/biting-nails_gxjumh.png",Behaviours,"Behaviours are a manner of behaving or conducting oneself in conjunction with one's environment as a response to stimuli, be it internal or external.",Communicating,"Communication is the activity of conveying information. Communication has been derived from the Latin word ""communis"", meaning to share. Communication requires a sender, a message, and an intended recipient, although the receiver need not be present or aware of the sender's intent to communicate at the time of communication; thus communication can occur across vast distances in time and space. Communication requires that the communicating parties share an area of communicative commonality."
Pray,"To Pray, or Praying, is a symbol of worship and communication to a religious deity.  Paying can be individual or communal, spoken or silent, or song or hymn. Most major religions routinely practice pray at their place of worship.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610814/pray_ys8fzu.png",Everyday,"Activities that take place on almost every day of the week, such as eating, driving, and sleeping.",Activities,Activites involve anything that keep one active or in the state of being active. Activities usually involve some sort of action.
Science,"Science is the reference to a reliable body of knowledge that is in the form of testable explanations and predictions. There are many different forms and paths of science, including library science, political science, and applied science.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610815/science_o15nal.png",School,"Things of and related to school, which is an institution designated for teach students in various subjects, such as math, science, and literature.",Places,"The places category contains PECS cards that are specific to what you may find in and around specific locations, such as a Doctor's Office or a School."
Eyes,"Eyes are the complex organs that detect light to allow us to see. The eyes consist of the lens, cornea, iris, retina, vitreous humor, optic nerve, and the aqueous humor.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610813/eyes_wgve8s.png",Body Parts,"Of and relating to the body, including bones, body parts, and facial features.",People,"People is a plurality of persons considered as a whole, as in an ethnic group or nation."
x,X is the twenty-fourth letter in the alphabet.,"https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610818/x-lower_kgptei.png",Alphabet,The alphabet is a set of letters that are used to write and form words in one or more languages on the principle that the letters represent basic sounds.,Basics,"Basics include topics such as shapes, time, currency, counting, and other cards that can be applied to every day life."
Wear Helmet,"When you Wear a Helmet you’re protecting your head from possible impact and blunt trauma from a fall or hard hit. Helmets are designed for safety and are worn in most major sports, including baseball, football, and hockey.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610818/wear-helmet_ci2rsi.png",General Help,"Help is a form of assistance, both self-help and the helping of others. This category includes any action or process which can fall into the category of help.",Self-help,"Self-help, or self-improvement, is a self-guided improvement—economically, intellectually, or emotionally—often with a substantial psychological basis."
Turn off,"The action of turning something off, such as a light, by de-activating a power source or trigger.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610817/turn-off_hzmhb6.png",Everyday,"Activities that take place on almost every day of the week, such as eating, driving, and sleeping.",Activities,Activites involve anything that keep one active or in the state of being active. Activities usually involve some sort of action.
Grilled Cheese,"Grilled cheese is a type of sandwich in which cheese is placed between two pieces of bread and toasted until the cheese has melted. In addition to the cheese, a grilled cheese sandwich may also contain meats, vegetables and condiments.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610809/grilled-cheese_piuupk.png",Meats and more,"PECS cards of and related to meat, which is animal flesh consumed as food.",Foods,"Delicious foods, including deserts and snacks."
Grocery Store,"A grocery store, or market, is a retail outlet that sells food and non-food items. Grocery stores are where families shop for nutritional necessities, such as fruits, grains, vegetables, and beverages. Modern grocery stores have expanded to include such items as DVDs, music CDs, and even electronics.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610809/grocery-market_tfpdiw.png",Outdoors,"Areas and places that can be found outdoors, such as park or playgrounds.",Places,"The places category contains PECS cards that are specific to what you may find in and around specific locations, such as a Doctor's Office or a School."
Swan,"Swans are birds of the family Anatidae, which also includes geese and ducks. Swans are grouped with the closely related geese in the subfamily Anserinae where they form the tribe Cygnini. Perhaps the best known story about a swan is The Ugly Duckling fairytale. The story centres on a duckling that is mistreated until it becomes evident he is a swan and is accepted into the habitat. He was mistreated because real ducklings are, according to many, more attractive than a cygnet, yet cygnets become swans, which are very attractive creatures. Swans are often a symbol of love or fidelity because of their long-lasting, apparently monogamous relationships.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610816/swan_stajcj.png",Birds,Animals that belong to the bird kingdom.,Animals,"Animals of all types, including pets and zoon animals."
Toilet,"A toilet is a fixture found in the bathroom that is used for the disposal of human waste. There are various types of toilets, including dry toilets, chemical toilets, and pit toilets.","https://res.cloudinary.com/dhmaaz5iu/image/upload/v1578610817/toilet_qgjguu.png",Bathroom,Items and activities that you would take place or be found in and around the bathroom.,Household,Objects and artefacts that can be found inside the home.
